Name            lon     lat     age      H      Name  e_c  err_e  q_core  eall e_eall  qall  acore bcore aall ball
NGC6811          79.207  11.999 8.936  231.3  355.0 0.181 0.018   4.415 0.157 0.217 -19.234 0.160 0.131 0.512 0.432
NGC6819          73.982   8.481 9.301  383.4 1915.0 0.104 0.009  -7.121 0.165 0.065  -9.119 0.068 0.061 0.225 0.188
NGC6830          60.123  -1.777 8.005  -68.4  232.0 0.061 0.091 -32.836 0.150 0.045  -6.747 0.083 0.078 0.189 0.161
NGC6866          79.562   6.837 8.89   166.5  229.0 0.019 0.030  29.399 0.062 0.085  -8.722 0.076 0.075 0.284 0.266
NGC6940          69.866  -7.163 9.01  -127.8  696.0 0.203 0.011  -0.851 0.455 0.201   6.650 0.254 0.203 0.843 0.459
NGC6997          85.473  -0.475 8.742   -7.2  246.0 0.075 0.109  32.497 0.067 0.097  -0.314 0.086 0.080 0.251 0.234
NGC7058          92.891   0.603 7.598    3.8   49.0 0.267 0.137 -14.853 0.190 0.168  -7.512 0.093 0.068 0.242 0.196
NGC7063          83.093  -9.888 8.274 -114.0   69.0 0.100 0.067  39.242 0.056 0.073  18.102 0.112 0.101 0.266 0.251
NGC7092          92.246  -2.35  8.491  -12.2  198.0 0.458 0.043   3.848 0.556 0.211   2.031 0.729 0.395 2.861 1.270
NGC7209          95.48   -7.296 8.533 -149.6  410.0 0.176 0.016 -20.603 0.120 0.189  -7.876 0.226 0.186 0.751 0.661
NGC7235         102.692   0.79  7.006   47.8  441.0 0.268 0.074 -16.057 0.063 0.079   4.894 0.060 0.044 0.171 0.161
NGC7243          98.82   -5.582 8.006  -85.0  352.0 0.239 0.056  -9.424 0.215 0.150   8.255 0.220 0.168 0.629 0.494
NGC7281         104.443   0.352 7.471   13.3  200.0 0.483 0.116  19.506 0.157 0.060  10.508 0.198 0.103 0.465 0.392
NGC7296         101.88   -4.588 7.925 -188.4  284.0 0.208 0.221  35.149 0.054 0.097  -3.659 0.076 0.060 0.267 0.253
NGC7788         116.43   -0.784 7.269  -41.6  255.0 0.237 0.256  34.393 0.134 0.305  40.196 0.041 0.032 0.124 0.108
Pismis4         262.916  -2.353 7.905  -28.4  138.0 0.173 0.080  -5.161 0.156 0.219  -1.049 0.270 0.223 0.779 0.657
Platais10       309.22    2.996 7.962   12.5   36.0 0.376 0.028  29.030 0.485 0.180  23.085 0.389 0.243 1.327 0.683
Platais3        139.221  16.068 8.319   49.0   99.0 0.321 0.080  -4.909 0.587 0.187 -25.379 1.554 1.055 5.200 2.149
Platais9        267.362   3.707 7.894   11.8  144.0 0.146 0.165 -31.156 0.122 0.212  28.301 1.465 1.251 4.176 3.667
Pozzo1          262.798  -7.691 7.117  -46.4  469.0 0.237 0.021 -44.437 0.221 0.268  40.907 0.376 0.287 1.537 1.198
Roslund3         58.843  -4.685 7.643 -133.0  187.0 0.142 0.138  -5.055 0.100 0.179  20.753 0.101 0.086 0.310 0.279
Roslund6         78.495   0.585 7.976    3.6  263.0 0.420 0.097   9.606 0.324 0.170   1.989 1.141 0.662 2.629 1.776
Ruprecht1       223.96   -9.692 8.502 -254.9  210.0 0.116 0.025  23.986 0.156 0.113   9.955 0.131 0.116 0.461 0.390
Ruprecht108     308.223   3.945 7.951   68.4   76.0 0.217 0.030   1.929 0.210 0.144 -15.761 0.125 0.098 0.370 0.293
Ruprecht115     330.963  -0.844 8.474  -37.2  510.0 0.289 0.069   2.966 0.061 0.049  28.311 0.061 0.043 0.182 0.170
Ruprecht151     233.079   3.236 8.614   63.0   52.0 0.108 0.045   7.147 0.334 0.389 -20.018 0.093 0.083 0.353 0.235
Ruprecht161     284.698  -4.255 7.986  -66.6  116.0 0.439 0.016   4.893 0.166 0.230   3.059 0.392 0.220 0.932 0.777
Ruprecht176     331.899  -0.269 8.168  -12.9  318.0 0.065 0.085 -43.368 0.028 0.090  -5.833 0.034 0.031 0.100 0.097
Ruprecht29      240.107  -0.794 8.162  -29.5  136.0 0.304 0.373  -7.128 0.124 0.051 -38.872 0.102 0.071 0.200 0.175
Ruprecht34      237.197   2.154 8.865   97.5  499.0 0.153 0.039  13.350 0.008 0.031 -34.152 0.099 0.084 0.326 0.323
Ruprecht44      245.722   0.492 7.132   47.5  395.0 0.210 0.105   3.458 0.062 0.045  25.762 0.069 0.054 0.189 0.177
Ruprecht50      248.221   0.128 8.578    5.0   80.0 0.251 0.076  -5.019 0.404 0.034 -12.585 0.044 0.033 0.159 0.095
Ruprecht58      250.432   1.582 8.706   93.5  261.0 0.101 0.121  38.438 0.124 0.079  -2.646 0.053 0.047 0.170 0.149
Ruprecht67      262.818  -0.761 8.651  -20.4   92.0 0.258 0.286   7.041 0.101 0.171  -5.416 0.070 0.052 0.189 0.170
Ruprecht76      273.753  -0.916 8.298  -32.3   76.0 0.240 0.028  30.726 0.171 0.128   9.289 0.051 0.038 0.157 0.130
Ruprecht82      277.724  -0.484 8.548  -18.4  255.0 0.153 0.026  36.897 0.126 0.054  -8.924 0.063 0.053 0.181 0.159
Ruprecht84      285.325  -8.825 8.48  -295.3  107.0 0.155 0.055  -3.453 0.181 0.078  15.994 0.046 0.039 0.146 0.120
Ruprecht93      290.444  -1.129 8.519  -42.3  207.0 0.098 0.168  26.909 0.088 0.098   5.103 0.070 0.063 0.153 0.139
Ruprecht98      297.326  -2.283 8.756  -19.2  122.0 0.471 0.037   7.729 0.592 0.147  -0.221 0.679 0.359 2.423 0.988
Stephenson1      66.908  15.365 7.435   94.4  117.0 0.252 0.242 -25.843 0.088 0.090 -33.299 0.249 0.186 0.676 0.617
Stock1           60.287   2.076 8.676   14.6  268.0 0.344 0.026  16.127 0.419 0.172  29.430 0.988 0.648 3.364 1.955
Stock10         171.714   3.556 8.06    22.2  150.0 0.273 0.070 -25.947 0.129 0.091   3.396 0.536 0.389 1.286 1.120
Stock12         111.459  -8.491 8.188  -64.5  115.0 0.375 0.032  -1.689 0.355 0.216 -17.252 0.373 0.233 1.120 0.723
Stock23         139.927   2.376 7.973   25.2  138.0 0.492 0.871  44.795 0.296 0.150   5.138 0.885 0.449 2.154 1.517
Teutsch35        69.565   7.218 7.9     61.7  157.0 0.289 0.042 -10.688 0.428 0.148  -4.728 0.377 0.268 1.272 0.728
Teutsch61       235.375   0.145 7.686    7.5   86.0 0.198 0.040  42.942 0.075 0.129  -1.220 0.031 0.025 0.091 0.084
Tombaugh1       232.339  -7.311 8.991 -318.4  322.0 0.044 0.042 -42.601 0.052 0.100 -40.998 0.053 0.050 0.158 0.150
Trumpler1       128.219  -1.134 7.513  -52.4  164.0 0.238 0.247  14.884 0.239 0.241   5.091 0.031 0.023 0.108 0.082
Trumpler10      262.866   0.582 7.74     4.4  605.0 0.352 0.033  -0.104 0.298 0.113  -8.214 0.733 0.475 2.430 1.707
Trumpler11      284.462  -4.869 7.325 -306.6  302.0 0.147 0.059  34.017 0.060 0.051  20.986 0.069 0.059 0.187 0.176
Trumpler12      283.822  -3.69  8.898 -228.3  336.0 0.112 0.050 -29.245 0.118 0.064  12.010 0.050 0.044 0.138 0.122
Trumpler18      290.964  -0.132 7.665   -3.5  120.0 0.135 0.151  33.405 0.154 0.149  24.146 0.060 0.052 0.173 0.146
Trumpler2       137.386  -3.977 7.962  -47.5  234.0 0.161 0.029  10.647 0.193 0.095   5.991 0.233 0.196 0.795 0.642
Trumpler21      307.581  -0.284 7.69    -6.6  131.0 0.230 0.049  17.037 0.117 0.130  25.391 0.061 0.047 0.156 0.138
Trumpler22      314.657  -0.588 7.385  -24.7 1146.0 0.449 0.747  -7.866 0.056 0.075 -27.937 0.183 0.101 0.363 0.342
Trumpler26      357.53    2.855 8.561   76.4  225.0 0.269 0.160  24.288 0.069 0.035   7.247 0.086 0.063 0.189 0.176
Trumpler29      349.967  -5.129 7.762 -127.3  361.0 0.179 0.173  44.468 0.071 0.071 -31.554 0.128 0.105 0.399 0.370
Trumpler30      355.717  -5.263 8.566 -124.6  308.0 0.089 0.135  -4.089 0.148 0.045  10.394 0.109 0.099 0.265 0.226
Trumpler7       238.216  -3.325 7.692  -99.4  179.0 0.108 0.168  36.082 0.083 0.075   7.666 0.059 0.053 0.168 0.154
Trumpler9       243.073   1.278 7.486   60.7  265.0 0.121 0.121 -26.151 0.097 0.226  17.551 0.048 0.042 0.158 0.143
Waterloo7       230.275   0.623 7.653   36.4   83.0 0.410 0.538   9.200 0.303 0.356  -1.796 0.041 0.024 0.106 0.074
